"","x"
"1",312.4
"2",509
"3",353.7
"4",471
"5",507
"6",176
"7",938
"8",637
"9",181.3
"10",88.5
"11",626
"12",553
"13",664
"14",938
"15",573
"16",76
"17",183.6
"18",851
"19",698
"20",399.8
"21",1001.5
"22",1714
"23",1001
"24",301.7
"25",375
"26",161.4
"27",78
"28",153.5
"29",214
"30",325
"31",942
"32",508.8
"33",626
"34",602
"35",882
"36",251.4
"37",1042
"38",404
"39",458
"40",685
"41",95.3
"42",662
"43",197.6
"44",937
"45",1758.4
"46",1083
"47",327
"48",60.1
"49",307.4
"50",142
"51",424
"52",1139
"53",70.4
"54",965
"55",186
"56",209.5
"57",540
"58",67.2
"59",1269
"60",144
"61",485.9
"62",260.1
"63",325.3
"64",449.9
"65",156
"66",309
"67",328.6
"68",1257
"69",854.1
"70",114
"71",1093
"72",350.3
"73",415
"74",659.2
"75",529
"76",388
"77",1581
"78",573
"79",770.8
"80",881
"81",187.4
"82",1707
"83",737
"84",477
"85",1053.2
"86",550
"87",698.2
"88",1336
"89",1042.6
"90",358
"91",474.4
"92",352
"93",230.4
"94",665
"95",122
"96",552.8
"97",1495
"98",409.2
"99",1001.4
"100",552
"101",431.6
"102",272.2
"103",379
"104",790.7
"105",661
"106",1058
"107",1062.5
"108",510.9
"109",304
"110",52.1
"111",275.7
"112",361
"113",1562
"114",285
"115",312
"116",841
"117",1267
"118",286.9
"119",659
"120",437
"121",142.9
"122",553
"123",378.5
"124",349
"125",668.7
"126",319
"127",1670.3
"128",282
"129",1539
"130",269
"131",1062
"132",474
"133",115.8
"134",777.2
"135",423
"136",238
"137",37.2
"138",1395.6
"139",908.8
"140",348.6
"141",518
"142",646
"143",230
"144",1052
"145",545
"146",1011.8
"147",312.4
"148",122.4
"149",1252
"150",78.8
"151",330.7
"152",1681
"153",1488
"154",1081
"155",332
"156",413
"157",475
"158",455
"159",582
"160",1044
"161",279
"162",934
"163",548
"164",1014
"165",298
"166",625
"167",289
"168",575.1
"169",167
"170",432
"171",569.4
"172",352.4
"173",714
"174",2003
"175",346.6
"176",1270
"177",1036
"178",273.7
"179",446
"180",302
"181",1270
"182",257
"183",1251.4
"184",576
"185",467.5
"186",178
"187",423
"188",309
"189",52.2
"190",314.9
"191",336.4
"192",535
"193",665
"194",694
"195",271
"196",83
"197",342
"198",577
"199",330
"200",1033
"201",1948
"202",274.5
"203",384
"204",1544
"205",720
"206",400.8
"207",381.5
"208",723
"209",411.8
"210",531
"211",1174
"212",362.7
"213",1343
"214",425
"215",366
"216",485
"217",66
"218",195
"219",300.5
"220",355
"221",1526
"222",878
"223",139
"224",416
"225",99
"226",551
"227",363.9
"228",638.4
"229",601
"230",1157
"231",951.2
"232",218.7
"233",1655
"234",1730
"235",358
"236",66.4
"237",1261
"238",260.4
"239",1369
"240",1096.9
"241",340
"242",1122
"243",244
"244",451
"245",567
"246",290
"247",141
"248",293
"249",501
"250",530
"251",320
"252",235
"253",501
"254",331
"255",414
"256",503
"257",464
"258",327
"259",914.9
"260",345
"261",401
"262",387
"263",311
"264",555
"265",328.9
"266",1680
"267",153
"268",554
"269",400
"270",286.5
"271",319.1
"272",300.8
"273",171
"274",524
"275",504
"276",326
"277",397
"278",616
"279",567
"280",213
"281",381.3
"282",276
"283",645.7
"284",168
"285",2066.2
"286",1421.4
"287",663
"288",117.2
"289",714
"290",301
"291",1698
"292",1309.7
"293",173.9
"294",206
"295",1038.6
"296",226
"297",651.7
"298",496
"299",169
"300",602
"301",1040
"302",1390
"303",359.1
"304",327.9
"305",296
"306",919
"307",390
"308",283
"309",996.9
"310",2117
"311",93.1
"312",2337
"313",1371.1
"314",368
"315",550
"316",663
"317",301
"318",598
"319",1388
"320",860
"321",439
"322",1436.5
"323",457.6
"324",369.6
"325",378.1
"326",266
"327",60.9
"328",317
"329",512.3
"330",468
"331",363
"332",292
"333",1257.3
"334",221.1
"335",1805
"336",954
"337",155
"338",999.9
"339",363
"340",697.3
"341",792
"342",615
"343",1433
"344",1043
"345",780
"346",316
"347",592
"348",1652
"349",333
"350",1230
"351",334.2
"352",404
"353",575
"354",544.7
"355",355.6
"356",640.3
"357",914
"358",524
"359",882
"360",577
"361",887
"362",502
"363",312
"364",280
"365",542.2
"366",811.4
"367",1742
"368",536.2
"369",533
"370",489
"371",864
"372",282.1
"373",493
"374",109
"375",535
"376",361
"377",989
"378",445
"379",958
"380",200
"381",322
"382",1855.7
"383",885
"384",433
"385",363
"386",253
"387",369.4
"388",299
"389",420
"390",378
"391",1888
"392",589
"393",251
"394",381
"395",115.9
"396",96
"397",778.3
"398",356
"399",109
"400",561.9
"401",1143
"402",275.4
"403",1076
"404",86
"405",116.9
"406",868.8
"407",472
"408",136.8
"409",1013.8
"410",361.1
"411",1099.4
"412",502
"413",441
"414",803
"415",293
"416",556
"417",288.8
"418",433.3
"419",398
"420",788.4
"421",409
"422",614
"423",1050
"424",1556.2
"425",323.4
"426",1704
"427",421
"428",495
"429",1088
"430",270
"431",716
"432",478
"433",559
"434",289.5
"435",773
"436",502.8
"437",181.8
"438",341.5
"439",181
"440",973.5
"441",1165
"442",1260.4
"443",76.6
"444",490
"445",504.4
"446",564
"447",996
"448",852
"449",1432
"450",68
"451",636
"452",1199
"453",248
"454",922
"455",464.1
"456",331.7
